About,Om,
Acceptance for Terms and/or Policies,Godkännande av Villkor och/eller Principer,
Accepted,Accepterad,
Account ID,Konto ID,
Active,Aktiv,
Address,Adress,
Admin,Administratör,
All,Alla,
Allow Guest Access,Tillåt Gäst Åtkomst,
Allow Job Posting From Website,Tillåt jobbannonsering från webbplats,
Allow Self Enrollment,Tillåt självregistrering,
Allow accessing future dates,Tillåt åtkomst till framtida datum,
Amount,Belopp,
Amount (USD),Belopp (USD),
Amount with GST,Belopp med Moms,
Answer,Svara,
Apply GST for India,Tillämpa GST för Indien,
Apply Rounding on Equivalent,Tillämpa avrundning på ekvivalent,
Approved,Godkänd,
Apps,Appar,
Assessment,Bedömning,
Assessment Name,Bedömning Namn,
Assessment Type,Bedömning Typ,
Assessments,Bedömningar,
Assignment,Tilldelning,
Assignment Attachment,Uppgift Bilaga,
Assignment Title,Uppgift Benämning,
Assignment will appear at the bottom of the lesson.,Uppgift kommer att visas längst ner i lektion.,
Attire Preference,Klädsel Preferens,
Auto Assign,Automatiskt Tilldela,
Auto Recording,Automatisk Inspelning,
Badge,Emblem,
Badge Description,Emblem Beskrivning,
Badge Image,Emblem Bild,
Batch,Parti,
Batch Confirmation Template,Grupp Bekräftelse Mall,
Batch Course,Grupp Kurs,
Batch Description,Parti Beskrivning,
Batch Details,Parti Detaljer,
Batch Details Raw,Grupp Detaljer,
Batch Evaluator,Grupp Utvärderare,
Batch Name,Grupp Namn,
Batch Old,Grupp Gammal,
Batch Settings,Grupp Inställningar,
Batch Title,Grupp Benämning,
Batches,Grupper,
Begin Date,Start Datum,
Billing Details,Faktura Detaljer,
Billing Name,Faktura Namn,
Body,Huvudtext,
Branch,Bransch,
CGPA/4,CGPA/4,
Cancelled,Annullerad,
Career Preference Details,Karriär Preferens Detaljer,
Category,Kategori,
Certificate,Certifikat,
Certificate Email Template,E-post Mall för Certifikat,
Certification,Certifiering,
Certification Details,Certifiering Detaljer,
Certification Name,Certifiering Namn,
Certified Participants,Certifierade Deltagare,
Chapter,Kapitel,
Chapter Reference,Kapitel Referens,
Chapters,Kapitel,
Choices,Alternativ,
City,Ort,
Client ID,Klient ID,
Client Secret,Klient Hemlighet,
Closed,Stängd,
Cloud,Moln,
Code,Kod,
Cohort,Grupp,
Cohort Join Request,Grupp Anslutning Begäran,
Cohort Mentor,Grupp Mentor,
Cohort Staff,Grupp Personal,
Cohort Subgroup,Undergrupp,
Cohort Web Page,Grupp Webbsida,
Collaboration Preference,Samarbetspreferens,
College Name,Skola Namn,
Color,Färg,
Comments,Kommentarer,
Company,Bolag,
Company Details,Bolag Detaljer,
Company Email Address,Bolag E-post Adress,
Company Logo,Bolag Logotyp,
Company Name,Bolag Namn,
Company Type,Bolagstyp,
Company Website,Bolag Webbplats,
Complete,Klar,
Completed,Klar,
