 Please evaluate and grade it., Lütfen değerlendirin ve not verin.,
% completed,% tamamlandı,
About,Hakkında,
Acceptance for Terms and/or Policies,Şartlar ve/veya Politikaların Kabulü,
Accepted,Kabul Edildi,
Account ID,Hesap Kimliği,
Achievements,Başarılar,
Active,Aktif,
Add,Ekle,
Add Chapter,Bölüm Ekle,
Add Lesson,Ders Ekle,
Add Slot,Yuva Ekle,
Add a Chapter,Bölüm Ekle,
Add a Lesson,Ders Ekle,
Add a Student,Öğrenci Ekle,
Add a course,Kurs Ekle,
Add a lesson,Bir ders ekle,
Add a new question,Yeni Soru Ekle,
Add a quiz to your lesson,Dersinize bir sınav ekleyin,
Add an assessment,Bir değerlendirme ekleyin,
Add an existing question,Mevcut bir soruyu ekle,
Add at least one possible answer for this question: {0},Bu soru için en azından bir olası cevap ekleyin: {0},
Add web page to sidebar,Web sayfasını kenar çubuğuna ekle,
Add your assignment as {0},Ödevinizi {0} olarak ekleyin,
Address,Adres,
Address Line 1,Adres Satırı 1,
Address Line 2,Adres Satırı 2,
Admin,Yönetici,
All,Tümü,
All Courses,Tüm Kurslar,
All Feedback,Tüm Geri Bildirimler,
All Submissions,Tüm Gönderiler,
All questions should have the same marks if the limit is set.,Eğer bir sınır konulmuşsa tüm soruların puanları aynı olmalıdır.,
Allow Job Posting From Website,Web Sitesinden İş İlanı Verilmesine İzin Verin,
Allow Self Enrollment,Kendi Kendine Kayıt Olmaya İzin Ver,
Allow accessing future dates,Gelecekteki tarihlere erişime izin ver,
Allow self enrollment,Kendi Kendine Kayıt Olmaya İzin Ver,
Already Registered,Zaten kayıltı,
Amount,Tutar,
Amount (USD),Tutar (USD),
Amount and currency are required for paid batches.,Ödenen partiler için tutar ve para birimi gereklidir.,
Amount and currency are required for paid courses.,Ücretli kurslar için miktar ve para birimi gereklidir.,
Amount with GST,GST ile Tutar,
Announcement,Duyuru,
Answer,Cevap,
Appears when the batch URL is shared on any online platform,Parti URL’si herhangi bir çevrimiçi platformda paylaşıldığında görünür.,
Applications Received,Alınan Başvurular,
Apply,Uygula,
Apply GST for India,Hindistan için GST uygula,
Apply Rounding on Equivalent,Eşdeğer Üzerinde Yuvarlama Uygula,
Apply for this job,Bu işe başvur,
Approved,Onaylandı,
Apps,Uygulamalar,
Archived,Arşivlendi,
Assessment,Değerlendirme,
Assessment Name,Değerlendirme Adı,
Assessment Type,Değerlendirme Türü,
Assessment {0} has already been added to this batch.,Değerlendirme {0} bu gruba zaten eklendi.,
Assessments,Değerlendirmeler,
Assign,Ata,
Assignment,Atama,
Assignment Attachment,Ödev Eki,
Assignment Title,Ödev Başlığı,
Assignment for Lesson {0} by {1} already exists.,{1} tarafından verilen {0} Dersi için ödev zaten mevcut.,
Assignment will appear at the bottom of the lesson.,Ödev dersin alt kısmında görünecektir.,
Assignments,Atamalar,
At least one option must be correct for this question.,Bu soruda en az bir seçeneğin doğru olması gerekmektedir.,
Attire Preference,Giyim Tercihi,
Authorize Google Calendar Access,Google Takvim Erişimini Yetkilendirin,
Auto Assign,Otomatik Atama,
Auto Recording,Otomatik Kayıt,
Average Rating,Ortalama Puan,
Back to Course,Kursa geri dön,
Badge,Rozet,
Badge Description,Rozet Açıklaması,
Badge Image,Rozet Resmi,
Batch,Parti,
Batch Confirmation Template,Toplu Onay Şablonu,
Batch Course,Toplu Kurs,
Batch Created,Toplu İş Oluşturuldu,
Batch Description,Parti Açıklaması,
Batch Details,Parti Detayları,
Batch:,Parti:,
Batches,Sınıflar,
Begin Date,Başlangıç Tarihi,
Billing Details,Fatura Detayları,
Billing Name,Fatura İsmi,
Bio,Hakkında,
Body,Vücut,
Branch,Görev Bölümü,
Business Owner,İşletme Sahibi,
Buy this course,Bu kursu satın al,
CGPA/4,CGPA/4,
Cancel,İptal,
Cancelled,İptal edildi,
Career Preference Details,Kariyer Tercihleri,
Category,Kategori,
Category Name,Kategori Adı,
Certificate,Sertifika,
Certificate Email Template,Sertifika E-posta Şablonu,
Certificate Link,Sertifika Bağlantısı,
Certificates,Sertifikalar,
Certification,Sertifikasyon,
Certification Details,Sertifikalar,
Certification Name,Sertifika Adı,
Certified Participants,Sertifikalı Katılımcılar,
Change,Değiştir,
Changes saved successfully,Değişiklikler başarıyla kaydedildi,
Chapter,Bölüm,
Chapter Reference,Bölüm Referansı,
Chapter added successfully,Bölüm başarıyla eklendi,
Chapter updated successfully,Bölüm başarıyla güncellendi,
Chapters,Bölümler,
Check,Kontrol et,
Check Discussion,Tartışmayı Kontrol Edin,
Check out the {0} to know more about certification.,Sertifikasyon hakkında daha fazla bilgi edinmek için {0} adresine göz atın.,
Checkout Courses,Kursları Kontrol Et,
Choices,Seçimler,
Choose all answers that apply,Uygulanabilir tüm cevapları seçin,
Choose an icon,Bir simge seçimi,
Choose one answer,Bir cevap seçin,
City,Şehir,
Clear,Açık,
Clear Cache and Reload,Önbelleği Temizle ve Yeniden Yükle,
Client ID,Client ID,
Client Secret,Client Secret,
Closed,Kapandı,
Cloud,Bulut,
Code,Kod,
Collapse,Daralt,
Color,Renk,
Comments,Yorumlar,
Company,Şirket,
Company Details,Şirket Detayları,
Company Email Address,Şirket E-posta Adresi,
Company Logo,Şirket Logosu,
Company Name,Şirket Adı,
Company Type,Şirket Türü,
Company Website,Şirket Web Sitesi,
Complete,Tamamla,
Complete Sign Up,Kayıt İşlemini Tamamlayın,
Completed,Tamamlandı,
Completions,Tamamlama,
Condition,Koşul,
Confirm,Onayla,
Confirmation Email Sent,Onay E-postası Gönderildi,
Confirmation Email Template,Onay E-postası Şablonu,
Congratulations on getting certified!,Sertifikanızı aldığınız için tebrikler!,
Contact the Administrator to enroll for this course.,Bu kursa kayıt olmak için Yönetici ile iletişime geçin.,
Content,İçerik,
Continue Learning,Öğrenmeye Devam Et,
Contract,Sözleşme,
Cookie Policy,Çerez Politikası,
Correct,Doğru,
Correct Answer,Doğru Cevap,
Country,Ülke,
Course,Kurs,
Course Chapter,Kurs Bölümü,
Course Description,Kurs Açıklaması,
Course Image,Kurs Resmi,
Course Instructor,Kurs Eğitmeni,
Course Lesson,Kurs Dersi,
Course List,Kurs Listesi,
Course Name,Kurs Adı,
Course Progress Summary,Kurs İlerleme Özeti,
Course Settings,Kurs Ayarları,
Course Title,Kurs Başlığı,
Course already added to the batch.,Kurs zaten gruba eklendi.,
Course deleted successfully,Kurs başarıyla silindi,
Course moved successfully,Kurs başarıyla taşındı,
Course {0} has already been added to this batch.,Kurs {0} bu gruba zaten eklenmiştir.,
Courses,Kurs,
Courses Completed,Tamamlanan Kurslar,
Courses deleted successfully,Kurslar başarıyla silindi,
Cover Image,Kapak Resmi,
Create,Oluştur,
Create a Course,Kurs Oluştur,
Create a Live Class,Canlı Sınıf Oluştur,
Create a course,Bir Kurs Oluştur,
Create a new question,Yeni bir soru oluştur,
Created,Oluşturdu,
Currency,Para Birimi,
Current Lesson,Güncel Ders,
Custom HTML,Özel HTML,
Custom Script (JavaScript),Özel Komut Dosyası (JavaScript),
Custom Signup Content,Özel Kayıt İçeriği,
Customisations,Özelleştirmeler,
DLS,ÖYS,
DLS Assessment,ÖYS Değerlendirmesi,
DLS Assignment,ÖYS Ödevi,
DLS Assignment Submission,ÖYS Ödev Gönderimi,
DLS Badge,ÖYS Rozeti,
DLS Badge Assignment,ÖYS Rozet Ataması,
DLS Category,ÖYS Kategorisi,
DLS Certificate,ÖYS Sertifikası,
DLS Certificate Evaluation,ÖYS Sertifika Değerlendirmesi,
DLS Certificate Request,ÖYS Sertifika Talebi,
DLS Course,Kurs,
DLS Course Interest,ÖYS Ders İlgi Alanı,
DLS Course Mentor Mapping,ÖYS Kurs Mentor Eşlemesi,
DLS Course Progress,ÖYS Kurs İlerlemesi,
DLS Course Review,ÖYS Kurs İncelemesi,
DLS Enrollment,ÖYS Kaydı,
DLS Live Class,ÖYS Canlı Sınıf,
DLS Mentor Request,ÖYS Mentor Talebi,
DLS Option,ÖYS Seçeneği,
DLS Payment,ÖYS Ödeme,
DLS Settings,ÖYS Ayarları,
DLS Sidebar Item,ÖYS Kenar Çubuğu Öğesi,
DLS Source,ÖYS Kaynağı,
